pdf_page,chars,preview
41,871,"律有無牴觸憲法之疑義，經本院大法官審理結果，認有牴觸憲 法者，本院自得以解釋宣示其為無效。至國民大會依憲法第一 百七十四條規定所修改或制定之 憲法或憲法增修條文與未經 修改之憲法條文，係處於同等位階之地位，與上述命令、法律 與憲法有高低位階之情形不同。我國 憲法並未如若干國家憲法"
42,845,"式選出，並以立法委員選舉各政黨所推薦及獨立參選之候選 人得票比例分配當選名額，依 此種依附立法委員之選舉方式 產生之國民大會代表，與憲法第二十五條規定之意旨，兩不 相容構成規範衝突，雖為本席所認同，但其謂增修條文有關 修改國民大會代表產生方式之規定 ，與自由民主憲政秩序自 屬有違"
43,788,"會代表之效力，則所謂「憲政改革」能否依其構想貫徹，尚 屬未知之數；又所謂配合會計年度如何設計係法律層次，並 不同意見書 大 法 官 曾 華 松 第三屆國民大會於八十八年九月四日第四次會議第十八次大會 以無記名投票方式表決通過憲法增修條文第一條、第四條、第九條 無民意代表之選舉必與"
44,926,"，當非國家設立司法機關之本意。又同法第四條第二項規定，大法 官解釋之事項，以憲法條文有規定者為限。是以憲法及憲法增修條 文若有規定某些憲法條文不得修改，或憲法之修正應獲得釋憲機關 之核可，或其中某些條文之修正，應獲得全體國民多數之同意，則 設有違反之者，當得由司法機關依聲請，宣告"
45,913,"之空間，釋憲者竟未加尊重之感。何況八十九年五月二十日前新制 之國民大會代表以及立法委員之所謂延任，迄未實現，配套措施亦 未問世，實際執行之後，利弊得失如何，亦無從懸斷之現在，對於 增修條文之好或壞預下斷語，亦與求真求實之司法本質不符。益見 立法委員之預行請求釋憲，既無予以解釋之必"
46,927,"統一前之需要，憲法增修條文雖迭有修正，但其前言，「為因應國 家統一前之需要」，始終未變，增修條文既有其宏觀之正當目的， 且均在憲法框架內運作修訂，自難援用國內外與本件憲法增修條文 無關之相關案例、解釋、學說或學者之見解，任意比附援引，資為 受理解釋及宣告系爭增修條文應屬無效之依據"
47,803,"不同意見；或係涉及國民大會議事自律事項，或係對將來行使職權 事項，預行聲請解釋憲法。並非就立法委員現時行使職權之具體事 項，適用憲法規定，而發生客觀上之疑義，與司法院大法官審理案 件法第五條第一項第三款所定之受理要件不符，依同條第三項之規 定，以及上揭說明，應不受理。至憲法結構之"
48,841,"屆立法委員任期至中華民國九十一年六月三十日止。第五屆立 法委員任期自中華民國九十一年七月一日起為四年，連選得連 任，其選舉應於每屆任滿前或解散後六十日內完成之，不適用 憲法第六十五條之規定。」並於九月十五日經總統明令公布（ 附件一）。聲請人等為立法院立法委員，鑒於該等憲法增修條 "
49,844,"，並非國民大會漫無任何限制、任意修改憲法自肥自利，破壞 民主憲法基本原理的根據。憲法第一條規定「中華民國基於三 民主義，為民有、民治、民享之民主共和國」，第二條規定「 中華民國之主權屬於國民全體」，第七條規定「中華民國人民 ，無分……黨派……在法律上一律平等」，增修條文第八條規 "
50,749,"，諸如國民主權、權力分立、 地方自治團體之制度保障， 或對人民自由權利之限制已涉及本質內容而逾越必要程 度等而言；而「明顯」則指從任何角度觀察皆無疑義或並 無有意義之爭論存在。 系爭憲法增修條文，其不僅修憲之程序具有重大而明 顯之瑕疵，亦即逕由國民大會議事錄之記載即得以發現其 全"
51,776,"旨。 國民大會曾於八十八年六月十五日修正通過國民大 會議事規則，規範修憲之提案、讀會、討論、表決諸項程 序之進行。孰料墨瀋未乾，即遭國民大會代表於修正系爭 憲法增修條文之程序中率予自相踐踏。八十八年九月三日 下午至翌日凌晨，國民 大會曾就系爭修憲條文進行二讀及 三讀程序。其於進行"
52,794,"大會議事規則第四十條規定：「 主席認為必要或有代表三 十人以上之請求時，得舉行反表決。出席代表對表決結果 認為有疑問時，經三十 人以上之同意得請求主席重行表決 ，但以一次為限。」是乃關於反表決之程序。本案並未舉 行反表決，並無適用第四十條第二項規定之餘地。退萬步 言之，縱使以該條"
53,820,"事規範為之，而有議事自律之原則之適用，惟議事自律事 項之決定，應符合自由民主之憲政秩序。細繹此兩號解釋 ，雖同以議會自律原則 適用於立法院與國民大會之議事 項，但均認為對於程序上明顯 違反憲政正當程序之情形， 大法官即有為司法審查之餘地（附件五）。 美國最高法院雖有將議會自治原則"
